,first_date,return_percent
315,1897-04-01,9.608637551956377
316,1897-05-01,9.7258855510868
317,1897-06-01,9.63938878750794
318,1897-07-01,9.581827576660906
319,1897-08-01,9.505569671458925
320,1897-09-01,9.540989136595378
321,1897-10-01,9.622234579804978
322,1897-11-01,9.814216902764027
323,1897-12-01,9.844636034964216
324,1898-01-01,9.68639866207095
325,1898-02-01,9.684242282841948
326,1898-03-01,10.058286544892159
327,1898-04-01,10.314852516237849
328,1898-05-01,10.20914301529723
329,1898-06-01,9.931766301901956
330,1898-07-01,9.966927840325113
331,1898-08-01,9.913426859577324
332,1898-09-01,10.161084266883403
333,1898-10-01,10.327214454535305
334,1898-11-01,10.422179825152366
335,1898-12-01,10.247569747685503
336,1899-01-01,10.166892958213625
337,1899-02-01,10.089328458615544
338,1899-03-01,10.11547223035243
339,1899-04-01,10.020113243411322
340,1899-05-01,10.241882187607064
341,1899-06-01,10.439194911051054
342,1899-07-01,10.640579768710555
343,1899-08-01,10.713916468316409
344,1899-09-01,10.885810372008065
345,1899-10-01,10.518848452915396
346,1899-11-01,9.34414223339357
347,1899-12-01,9.763589867698341
348,1900-01-01,9.688760634272242
349,1900-02-01,9.872496570089172
350,1900-03-01,9.988463696247285
351,1900-04-01,10.127149138703984
352,1900-05-01,10.085946041953209
353,1900-06-01,9.855483439313373
354,1900-07-01,9.793624909432964
355,1900-08-01,9.657524199787272
356,1900-09-01,9.720466299254383
357,1900-10-01,9.110448969657625
358,1900-11-01,8.60571785782036
359,1900-12-01,8.181904148140573
360,1901-01-01,8.103902282434806
361,1901-02-01,8.289972510474385
362,1901-03-01,8.2404188396916
363,1901-04-01,7.574354301182673
364,1901-05-01,7.412168341099368
365,1901-06-01,7.021409200171069
366,1901-07-01,7.384489855683252
367,1901-08-01,7.191296300575689
368,1901-09-01,6.641267925119321
369,1901-10-01,6.26299332358522
370,1901-11-01,6.269419017354272
371,1901-12-01,5.68259632505721
372,1902-01-01,5.465561821651499
373,1902-02-01,5.412669909035861
374,1902-03-01,5.417314451379918
375,1902-04-01,4.404672017483069
376,1902-05-01,4.011635488852994
377,1902-06-01,3.631681171866852
378,1902-07-01,3.686959064741857
379,1902-08-01,4.839656722410712
380,1902-09-01,5.127441493501528
381,1902-10-01,4.8280874654848205
382,1902-11-01,4.952172140925115
383,1902-12-01,4.997790200821184
384,1903-01-01,4.869586174097895
385,1903-02-01,4.486677290669361
386,1903-03-01,4.597283412498676
387,1903-04-01,5.128065646521351
388,1903-05-01,6.0816271571832115
389,1903-06-01,6.910947214384677
390,1903-07-01,7.298748219533624
391,1903-08-01,7.054875766577751
392,1903-09-01,7.080120385218369
393,1903-10-01,6.943459124004248
394,1903-11-01,7.0355427147201555
395,1903-12-01,7.026653466810662
396,1904-01-01,7.068526822067467
397,1904-02-01,7.449162304738066
398,1904-03-01,7.260460427734339
399,1904-04-01,7.2684697711139945
400,1904-05-01,6.974407350343781
401,1904-06-01,7.083955617236848
402,1904-07-01,6.723421718303668
403,1904-08-01,6.303632199891629
404,1904-09-01,6.043115444375702
405,1904-10-01,5.985996323598619
406,1904-11-01,5.922086221421741
407,1904-12-01,5.993501163527037
408,1905-01-01,5.823809736985619
409,1905-02-01,5.601928095364528
410,1905-03-01,5.272593119296287
411,1905-04-01,5.590676237063441
412,1905-05-01,6.02581610652313
413,1905-06-01,6.179559608536533
414,1905-07-01,6.204515448077053
415,1905-08-01,6.142943379778942
416,1905-09-01,6.178537960031072
417,1905-10-01,6.340654748450891
418,1905-11-01,6.694710611441179
419,1905-12-01,6.696938192598356
420,1906-01-01,6.6694586497481945
421,1906-02-01,6.926588766427422
422,1906-03-01,7.083107135275957
423,1906-04-01,7.161121289093342
424,1906-05-01,7.05461301125101
425,1906-06-01,7.222295429693104
426,1906-07-01,7.46478278280418
427,1906-08-01,7.1226506116294
428,1906-09-01,7.034356007591525
429,1906-10-01,7.438747631565867
430,1906-11-01,7.485658060233957
431,1906-12-01,7.551232329203139
432,1907-01-01,7.659472983182192
433,1907-02-01,7.901449498163204
434,1907-03-01,8.248384205480598
435,1907-04-01,8.049797171234285
436,1907-05-01,8.007622119580372
437,1907-06-01,8.06035221813981
438,1907-07-01,8.068127512817092
439,1907-08-01,8.200195329907611
440,1907-09-01,7.688835629467405
441,1907-10-01,7.661681370504758
442,1907-11-01,7.574732293377351
443,1907-12-01,7.451535274505616
444,1908-01-01,7.290341927571808
445,1908-02-01,7.362199688006599
446,1908-03-01,6.975278268631935
447,1908-04-01,6.698448123611311
448,1908-05-01,6.545660913803575
449,1908-06-01,6.685439014267902
450,1908-07-01,7.0971364767405065
451,1908-08-01,6.789092545657716
452,1908-09-01,6.660480520991285
453,1908-10-01,7.0865880729335196
454,1908-11-01,6.883037989851881
455,1908-12-01,6.805623719160914
456,1909-01-01,6.6385920196563974
457,1909-02-01,6.734285990740663
458,1909-03-01,6.68617466681487
459,1909-04-01,6.138346279090823
460,1909-05-01,6.150890747717597
461,1909-06-01,6.214410890912503
462,1909-07-01,6.145576009230935
463,1909-08-01,5.837939633298217
464,1909-09-01,6.177675204282562
465,1909-10-01,6.296331441608638
466,1909-11-01,6.281223480122344
467,1909-12-01,6.272742694049915
468,1910-01-01,6.225788487801598
469,1910-02-01,6.347047310509546
470,1910-03-01,6.247974790908395
471,1910-04-01,6.451584181498049
472,1910-05-01,6.010921360453314
473,1910-06-01,5.940898136964856
474,1910-07-01,6.122287828310613
475,1910-08-01,5.938925188896493
476,1910-09-01,6.0418722234721445
477,1910-10-01,6.014512694634755
478,1910-11-01,6.126029332902716
479,1910-12-01,6.199779488851509
480,1911-01-01,6.022097120369696
481,1911-02-01,5.769415012600554
482,1911-03-01,5.8364531103983985
483,1911-04-01,5.828392895529189
484,1911-05-01,5.713019214938542
485,1911-06-01,5.8328013242328725
486,1911-07-01,5.894841471271062
487,1911-08-01,5.8746723175601145
488,1911-09-01,6.053425268530854
489,1911-10-01,5.997700842881004
490,1911-11-01,5.737924175506848
491,1911-12-01,5.624346184699602
492,1912-01-01,5.580681821261435
493,1912-02-01,5.541981492105519
494,1912-03-01,5.266368512196684
495,1912-04-01,5.110545127949351
496,1912-05-01,5.184018852345229
497,1912-06-01,5.407837800370574
498,1912-07-01,5.387847986569683
499,1912-08-01,5.110863460246384
500,1912-09-01,5.094734341224072
501,1912-10-01,5.4397450477487785
502,1912-11-01,5.5747240947428445
503,1912-12-01,5.850703524112699
504,1913-01-01,5.965311064346257
505,1913-02-01,6.322761033187851
506,1913-03-01,6.525186554559892
507,1913-04-01,6.742132593565908
508,1913-05-01,6.996689115680854
509,1913-06-01,7.282511774333789
510,1913-07-01,7.159613711089996
511,1913-08-01,6.721569408233008
512,1913-09-01,6.725820927304982
513,1913-10-01,6.892447797645462
514,1913-11-01,6.861313433898775
515,1913-12-01,7.039837817462691
516,1914-01-01,6.893736931602357
517,1914-02-01,6.855034261453707
518,1914-03-01,7.023717378094618
519,1914-04-01,7.147061063722804
520,1914-05-01,7.207136483968601
521,1914-06-01,7.423685607424413
522,1914-07-01,7.556250286097588
523,1914-08-01,7.348825814968429
524,1914-09-01,7.259562831471755
525,1914-10-01,7.427721660128195
526,1914-11-01,7.45451407057125
527,1914-12-01,7.805610278241315
528,1915-01-01,7.72989902108947
529,1915-02-01,7.923054775677096
530,1915-03-01,7.836282426332453
531,1915-04-01,7.773556442745622
532,1915-05-01,8.001635305600496
533,1915-06-01,8.059986031254596
534,1915-07-01,7.832649260212943
535,1915-08-01,7.5497818078533285
536,1915-09-01,7.621648393138525
537,1915-10-01,7.659157556733631
538,1915-11-01,7.7042747759066055
539,1915-12-01,7.871589839254023
540,1916-01-01,7.94179582304646
541,1916-02-01,8.022771258627737
